what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461406776
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461421879
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1411461462061
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1411461468213
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411461493424
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1411461497176
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411461500921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461538624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1411461538900
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461545435
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461547022
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1411461547090
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461552197
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1411461553204
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1411461553776
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1411461554251
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1411461554916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411461560791
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411461567422
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1411461569301
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1411461569361
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411461569947
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411461570214
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411461571602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461585192
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461612724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461623963
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461639922
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1411461653700
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1411461654257
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1411461654653
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411461655215
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411461655931
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411461657184
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461663132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461666753
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461677208
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461699845
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461700625
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461701443
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461712413
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461723344
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411461731533
