what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1411481807213
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481830982
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481833122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481841242
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481843057
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481846023
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481847289
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481848459
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481848585
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481875633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481879267
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481886368
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481886368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481890523
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481890701
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481890729
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481897428
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481897593
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481897669
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481897725
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1411481918858
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1411481919287
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411481920161
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411481920391
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411481920989
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481923190
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481937688
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481940623
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481941573
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481941584
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481949064
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481949096
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481952460
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481958130
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481960228
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1411481963075
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1411481973888
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411481974895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1411481986137
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411481987302
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411481988068
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481988677
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481991469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411481993597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482000207
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411482004390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482008437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482022516
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411482026144
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411482029210
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482030292
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482076531
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1411482078256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411482091937
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1411482092310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482172673
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482173122
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1411482173134
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482304226
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482740919
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482741548
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482743287
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411482744493
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411483131710
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411483137638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411483138939
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1411483139128
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411483139698
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1411483144331
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1411483144405
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1411483144405
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1411483144405
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1411483144572
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1411483144809
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1411483144855
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1411483144855
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1411483144855
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1411483144855
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1411483144855
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1411483144855
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1411483145062
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1411483145462
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1411483145870
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1411483145870
stopped,bundle,org.eclipse.rse.importexport,1.2.100.v201003010830,"org.eclipse.rse.importexport",1411483146041
